timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784785195756,1150,bookstoscrape,200,OK,Non Gui TestCases using CSV files 1-4,text,true,,51579,130,10,10,https://books.toscrape.com/index.html,426,0,0
1784785196421,601,quotestoscrape,200,OK,Non Gui TestCases using CSV files 1-8,text,true,,11273,128,10,10,https://quotes.toscrape.com/page/1/,330,0,0
1784785196743,535,Gui ,200,OK,Non Gui TestCases using CSV files 1-2,text,true,,14907,114,10,10,https://octoperf.com/,376,0,0
1784785196907,373,Gui ,200,OK,Non Gui TestCases using CSV files 1-4,text,true,,14906,114,10,10,https://octoperf.com/,212,0,0
1784785197022,1363,bookstoscrape,200,OK,Non Gui TestCases using CSV files 1-8,text,true,,51579,130,10,10,https://books.toscrape.com/index.html,351,0,0
1784785196527,1885,bookstoscrape,200,OK,Non Gui TestCases using CSV files 1-7,text,true,,51579,130,10,10,https://books.toscrape.com/index.html,1214,0,761
1784785198413,237,Gui ,200,OK,Non Gui TestCases using CSV files 1-7,text,true,,14906,114,10,10,https://octoperf.com/,235,0,0
1784785198387,266,Gui ,200,OK,Non Gui TestCases using CSV files 1-8,text,true,,14907,114,10,10,https://octoperf.com/,264,0,0
1784785197281,1452,Practice Automation,200,OK,Non Gui TestCases using CSV files 1-4,text,true,,47772,246,10,10,https://www.easycalculation.com/,459,0,0
1784785197281,459,Practice Automation-0,301,Moved Permanently,Non Gui TestCases using CSV files 1-4,text,true,,362,121,10,10,https://easycalculation.com/,459,0,0
1784785197741,992,Practice Automation-1,200,OK,Non Gui TestCases using CSV files 1-4,text,true,,47410,125,10,10,https://www.easycalculation.com/,685,0,0
1784785198734,46,example,200,OK,Non Gui TestCases using CSV files 1-4,text,true,,872,113,10,10,https://example.com/,46,0,0
1784785198781,110,W3org,200,OK,Non Gui TestCases using CSV files 1-4,text,true,,54789,112,10,10,https://www.w3.org/,57,0,0
1784785197280,1618,Practice Automation,200,OK,Non Gui TestCases using CSV files 1-2,text,true,,47772,246,10,10,https://www.easycalculation.com/,461,0,0
1784785197280,461,Practice Automation-0,301,Moved Permanently,Non Gui TestCases using CSV files 1-2,text,true,,362,121,10,10,https://easycalculation.com/,461,0,0
1784785197742,1156,Practice Automation-1,200,OK,Non Gui TestCases using CSV files 1-2,text,true,,47410,125,10,10,https://www.easycalculation.com/,848,0,0
1784785198899,101,example,200,OK,Non Gui TestCases using CSV files 1-2,text,true,,872,113,10,10,https://example.com/,101,0,0
1784785199001,162,W3org,200,OK,Non Gui TestCases using CSV files 1-2,text,true,,54790,112,10,10,https://www.w3.org/,87,0,0
1784785198892,841,info,200,OK,Non Gui TestCases using CSV files 1-4,text,true,,2450,143,10,10,https://info.cern.ch/hypertext/WWW/TheProject.html,840,0,520
1784785198654,1216,Practice Automation,200,OK,Non Gui TestCases using CSV files 1-8,text,true,,47772,246,10,10,https://www.easycalculation.com/,295,0,0
1784785198654,295,Practice Automation-0,301,Moved Permanently,Non Gui TestCases using CSV files 1-8,text,true,,362,121,10,10,https://easycalculation.com/,295,0,0
1784785198950,920,Practice Automation-1,200,OK,Non Gui TestCases using CSV files 1-8,text,true,,47410,125,10,10,https://www.easycalculation.com/,598,0,0
1784785199734,136,wikkepedia,403,Forbidden,Non Gui TestCases using CSV files 1-4,text,false,,329,119,10,10,https://www.wikipedia.org/,136,0,0
1784785199871,77,example,200,OK,Non Gui TestCases using CSV files 1-8,text,true,,872,113,10,10,https://example.com/,71,0,0
1784785198651,1300,Practice Automation,200,OK,Non Gui TestCases using CSV files 1-7,text,true,,47772,246,10,10,https://www.easycalculation.com/,314,0,0
1784785198651,314,Practice Automation-0,301,Moved Permanently,Non Gui TestCases using CSV files 1-7,text,true,,362,121,10,10,https://easycalculation.com/,314,0,0
